call_number,unit_id,incident_number,call_type,call_date,watch_date,received_timestamp,entry_timestamp,dispatch_timestamp,response_timestamp,on_scene_timestamp,transport_timestamp,hospital_timestamp,call_final_disposition,available_timestamp,address,city,zipcode_of_incident,battalion,station_area,box,original_priority,priority,final_priority,als_unit,call_type_group,number_of_alarms,unit_type,unit_sequence_in_call_dispatch,fire_prevention_district,supervisor_district,neighborhood_district,location,row_id,latitude,longitude
180243072,84,18010216,Medical Incident,2018-01-24,2018-01-24,2018-01-24 17:36:16.000000 UTC,2018-01-24 17:38:21.000000 UTC,2018-01-24 17:39:41.000000 UTC,2018-01-24 17:39:45.000000 UTC,2018-01-24 17:53:42.000000 UTC,2018-01-24 18:16:32.000000 UTC,2018-01-24 18:44:08.000000 UTC,Code 2 Transport,2018-01-24 19:16:11.000000 UTC,700 Block of 44TH AVE,San Francisco,94121,B07,34,7273,2,2,2,TRUE,Non Life-threatening,1,MEDIC,1,7,1,,"(37.77444199483868, -122.5046792231959)",180243072-84,37.77444199,-122.5046792
180240538,61,18010011,Medical Incident,2018-01-24,2018-01-23,2018-01-24 07:05:05.000000 UTC,2018-01-24 07:05:05.000000 UTC,2018-01-24 07:05:31.000000 UTC,2018-01-24 07:05:45.000000 UTC,2018-01-24 07:19:02.000000 UTC,,,Code 2 Transport,2018-01-24 07:54:47.000000 UTC,0 Block of 12TH ST,San Francisco,94103,B02,36,3212,A,2,2,TRUE,Non Life-threatening,1,MEDIC,1,2,6,,"(37.774094856688166, -122.42000143696421)",180240538-61,37.77409486,-122.4200014
180240176,E22,18009959,Medical Incident,2018-01-24,2018-01-23,2018-01-24 02:04:21.000000 UTC,2018-01-24 02:05:37.000000 UTC,2018-01-24 02:06:04.000000 UTC,2018-01-24 02:07:26.000000 UTC,2018-01-24 02:10:02.000000 UTC,,,Code 2 Transport,2018-01-24 02:23:59.000000 UTC,1700 Block of 18TH AV,San Francisco,94122,B08,40,7422,3,2,2,TRUE,Potentially Life-Threatening,1,ENGINE,1,8,7,,"(37.75521795168784, -122.47554039050351)",180240176-E22,37.75521795,-122.4755404
180243588,E03,18010271,Alarms,2018-01-24,2018-01-24,2018-01-24 20:04:15.000000 UTC,2018-01-24 20:05:12.000000 UTC,2018-01-24 20:05:24.000000 UTC,2018-01-24 20:05:36.000000 UTC,2018-01-24 20:08:17.000000 UTC,,,Fire,2018-01-24 20:22:23.000000 UTC,1700 Block of CALIFORNIA ST,San Francisco,94109,B04,38,3155,3,3,3,TRUE,Alarm,1,ENGINE,1,4,2,,"(37.79031930341935, -122.4231629067995)",180243588-E03,37.7903193,-122.4231629
180243590,B03,18010272,Alarms,2018-01-24,2018-01-24,2018-01-24 20:03:08.000000 UTC,2018-01-24 20:05:36.000000 UTC,2018-01-24 20:05:57.000000 UTC,2018-01-24 20:06:56.000000 UTC,2018-01-24 20:09:15.000000 UTC,,,Fire,2018-01-24 20:25:29.000000 UTC,200 Block of KING ST,San Francisco,94107,B03,8,2171,3,3,3,FALSE,Alarm,1,CHIEF,3,3,6,,"(37.77732776352611, -122.39308855968541)",180243590-B03,37.77732776,-122.3930886
180243782,E07,18010292,Alarms,2018-01-24,2018-01-24,2018-01-24 21:18:56.000000 UTC,2018-01-24 21:20:21.000000 UTC,2018-01-24 21:21:18.000000 UTC,2018-01-24 21:22:36.000000 UTC,2018-01-24 21:24:43.000000 UTC,,,Fire,2018-01-24 21:35:40.000000 UTC,3300 Block of 21ST ST,San Francisco,94110,B06,7,5456,3,3,3,TRUE,Alarm,1,ENGINE,1,6,8,,"(37.756890170572206, -122.42222930549926)",180243782-E07,37.75689017,-122.4222293
180241852,E03,18010114,Structure Fire,2018-01-24,2018-01-24,2018-01-24 12:24:27.000000 UTC,2018-01-24 12:25:27.000000 UTC,2018-01-24 12:26:56.000000 UTC,2018-01-24 12:26:56.000000 UTC,2018-01-24 12:35:45.000000 UTC,,,Fire,2018-01-24 12:35:47.000000 UTC,500 Block of EDDY ST,San Francisco,94102,B02,3,1643,3,3,3,TRUE,Alarm,1,ENGINE,8,2,6,,"(37.783359002692066, -122.41669494404806)",180241852-E03,37.783359,-122.4166949
180243546,66,18010265,Traffic Collision,2018-01-24,2018-01-24,2018-01-24 19:51:29.000000 UTC,2018-01-24 19:53:19.000000 UTC,2018-01-24 19:53:41.000000 UTC,2018-01-24 19:53:50.000000 UTC,2018-01-24 19:59:56.000000 UTC,2018-01-24 20:21:53.000000 UTC,2018-01-24 20:37:22.000000 UTC,Code 2 Transport,2018-01-24 21:01:01.000000 UTC,DIVISION ST/10TH ST,San Francisco,94103,B02,29,2346,3,3,3,TRUE,Potentially Life-Threatening,1,MEDIC,2,2,6,,"(37.76924401107554, -122.40800720584919)",180243546-66,37.76924401,-122.4080072
180243952,E28,18010317,Alarms,2018-01-24,2018-01-24,2018-01-24 22:26:22.000000 UTC,2018-01-24 22:27:06.000000 UTC,2018-01-24 22:27:47.000000 UTC,2018-01-24 22:28:33.000000 UTC,2018-01-24 22:32:20.000000 UTC,,,Fire,2018-01-24 22:37:06.000000 UTC,400 Block of BEACH ST,San Francisco,94133,B01,28,1521,3,3,3,FALSE,Alarm,1,ENGINE,1,1,3,,"(37.80711992362169, -122.41642787206773)",180243952-E28,37.80711992,-122.4164279
180241350,58,18010067,Medical Incident,2018-01-24,2018-01-24,2018-01-24 10:35:00.000000 UTC,2018-01-24 10:36:55.000000 UTC,2018-01-24 10:37:06.000000 UTC,2018-01-24 10:37:09.000000 UTC,2018-01-24 10:41:45.000000 UTC,,,Fire,2018-01-24 10:51:51.000000 UTC,1800 Block of SUNNYDALE AVE,San Francisco,94134,B09,44,6241,2,2,2,TRUE,Non Life-threatening,1,MEDIC,1,9,10,,"(37.71214950882262, -122.41714122572772)",180241350-58,37.71214951,-122.4171412
180241957,53,18010125,Medical Incident,2018-01-24,2018-01-24,2018-01-24 12:53:39.000000 UTC,2018-01-24 12:53:39.000000 UTC,2018-01-24 12:55:17.000000 UTC,2018-01-24 12:55:28.000000 UTC,2018-01-24 13:11:25.000000 UTC,2018-01-24 13:22:13.000000 UTC,,Code 2 Transport,2018-01-24 14:24:18.000000 UTC,0 Block of GROVE ST,San Francisco,94102,B02,36,1647,B,2,2,TRUE,Non Life-threatening,1,MEDIC,1,2,6,,"(37.77883231587925, -122.41564248785478)",180241957-53,37.77883232,-122.4156425
180242429,62,18010155,Medical Incident,2018-01-24,2018-01-24,2018-01-24 14:36:16.000000 UTC,2018-01-24 14:38:23.000000 UTC,2018-01-24 14:45:58.000000 UTC,2018-01-24 14:47:14.000000 UTC,2018-01-24 14:52:26.000000 UTC,2018-01-24 15:00:56.000000 UTC,2018-01-24 15:14:30.000000 UTC,Code 2 Transport,2018-01-24 15:43:18.000000 UTC,JACKSON ST/DAVIS ST,San Francisco,94111,B01,13,1132,2,2,2,TRUE,Non Life-threatening,1,MEDIC,1,1,3,,"(37.79709205269086, -122.39833314918091)",180242429-62,37.79709205,-122.3983331
180243142,E11,18010223,Medical Incident,2018-01-24,2018-01-24,2018-01-24 17:56:16.000000 UTC,2018-01-24 17:58:32.000000 UTC,2018-01-24 17:59:52.000000 UTC,2018-01-24 18:00:50.000000 UTC,2018-01-24 18:03:48.000000 UTC,,,Code 2 Transport,2018-01-24 18:19:26.000000 UTC,900 Block of CHURCH ST,San Francisco,94114,B06,11,5467,3,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,1,6,8,,"(37.756096396025626, -122.42778335985659)",180243142-E11,37.7560964,-122.4277834
180242903,KM06,18010201,Medical Incident,2018-01-24,2018-01-24,2018-01-24 16:48:13.000000 UTC,2018-01-24 16:51:25.000000 UTC,2018-01-24 16:51:46.000000 UTC,2018-01-24 16:52:30.000000 UTC,2018-01-24 17:00:46.000000 UTC,2018-01-24 17:25:00.000000 UTC,2018-01-24 17:59:53.000000 UTC,Code 2 Transport,2018-01-24 18:45:47.000000 UTC,100 Block of 6TH ST,San Francisco,94103,B03,1,2251,3,3,3,FALSE,Potentially Life-Threatening,1,PRIVATE,2,3,6,,"(37.78079208027532, -122.40838574549893)",180242903-KM06,37.78079208,-122.4083857
180243517,85,18010262,Medical Incident,2018-01-24,2018-01-24,2018-01-24 19:41:44.000000 UTC,2018-01-24 19:44:22.000000 UTC,2018-01-24 19:45:15.000000 UTC,2018-01-24 19:45:21.000000 UTC,2018-01-24 19:49:58.000000 UTC,2018-01-24 20:10:57.000000 UTC,2018-01-24 20:30:18.000000 UTC,Code 2 Transport,2018-01-24 21:00:11.000000 UTC,24TH ST/MISSION ST,San Francisco,94110,B06,11,5525,3,3,3,TRUE,Potentially Life-Threatening,1,MEDIC,2,6,9,,"(37.75223945497915, -122.41844527285122)",180243517-85,37.75223946,-122.4184453
180240052,RS1,18009942,Structure Fire,2018-01-24,2018-01-23,2018-01-24 00:19:30.000000 UTC,2018-01-24 00:34:51.000000 UTC,2018-01-24 00:35:09.000000 UTC,2018-01-24 00:36:32.000000 UTC,2018-01-24 00:40:10.000000 UTC,,,Fire,2018-01-24 00:41:34.000000 UTC,700 Block of OFARRELL ST,San Francisco,94109,B04,3,1642,3,3,3,FALSE,Alarm,1,RESCUE SQUAD,6,2,6,,"(37.78521736163072, -122.41706961139498)",180240052-RS1,37.78521736,-122.4170696
180241776,E03,18010110,Medical Incident,2018-01-24,2018-01-24,2018-01-24 12:08:29.000000 UTC,2018-01-24 12:10:03.000000 UTC,2018-01-24 12:10:43.000000 UTC,2018-01-24 12:11:43.000000 UTC,2018-01-24 12:15:55.000000 UTC,,,Code 2 Transport,2018-01-24 12:25:50.000000 UTC,600 Block of STEVENSON ST,San Francisco,94103,B02,36,2316,3,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,1,2,6,,"(37.77952317116152, -122.41263929179321)",180241776-E03,37.77952317,-122.4126393
180242487,E20,18010161,Medical Incident,2018-01-24,2018-01-24,2018-01-24 14:54:21.000000 UTC,2018-01-24 14:57:25.000000 UTC,2018-01-24 15:01:11.000000 UTC,2018-01-24 15:02:25.000000 UTC,2018-01-24 15:06:13.000000 UTC,,,Code 2 Transport,2018-01-24 15:45:30.000000 UTC,300 Block of LAGUNA HONDA BLVD,San Francisco,94131,B08,20,8637,2,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,1,8,7,,"(37.74817254773626, -122.45869503396155)",180242487-E20,37.74817255,-122.458695
180243850,72,18010301,Medical Incident,2018-01-24,2018-01-24,2018-01-24 21:42:22.000000 UTC,2018-01-24 21:46:48.000000 UTC,2018-01-24 21:47:16.000000 UTC,2018-01-24 21:47:21.000000 UTC,2018-01-24 21:53:05.000000 UTC,2018-01-24 22:07:52.000000 UTC,2018-01-24 22:13:13.000000 UTC,Code 2 Transport,2018-01-24 22:41:40.000000 UTC,1400 Block of HAIGHT ST,San Francisco,94117,B05,21,4466,2,2,2,TRUE,Non Life-threatening,1,MEDIC,1,5,5,,"(37.770054661455546, -122.44612843129843)",180243850-72,37.77005466,-122.4461284
180241852,T01,18010114,Structure Fire,2018-01-24,2018-01-24,2018-01-24 12:24:27.000000 UTC,2018-01-24 12:25:27.000000 UTC,2018-01-24 12:25:47.000000 UTC,2018-01-24 12:25:53.000000 UTC,,,,Fire,2018-01-24 12:33:24.000000 UTC,500 Block of EDDY ST,San Francisco,94102,B02,3,1643,3,3,3,FALSE,Alarm,1,TRUCK,10,2,6,,"(37.783359002692066, -122.41669494404806)",180241852-T01,37.783359,-122.4166949